# Chunk-averaged data for fix fx_vel1 and group vy
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount vx vy vz
10000 240 2560
  193 7.25 12.7207 -0.0820349 0.0710411 -0.0409991
  194 7.35 13.0611 -0.036186 0.0589623 -0.0354945
  195 7.45 12.8423 -0.0974984 0.0794447 -0.043883
  196 7.55 12.7728 -0.102977 0.128806 -0.0558866
  197 7.65 11.5631 -0.0695032 0.107214 -0.0715369
  198 7.75 10.8942 -0.0715628 0.102443 -0.0814541
  199 7.85 9.4428 -0.0789683 0.110074 -0.0963734
  200 7.95 10.5106 -0.0640355 0.0908386 -0.0855253
  201 8.05 11.6311 -0.0280039 0.126703 -0.046496
  202 8.15 12.2416 0.00369783 0.0574256 -0.0310455
  203 8.25 14.3282 -0.0437145 0.110636 -0.0360418
  204 8.35 16.41 -0.0533405 0.0420284 -0.0399971
  205 8.45 17.7509 -0.0335573 0.0558412 -0.0454772
  206 8.55 18.2401 -0.0403342 0.0735121 -0.0573715
  207 8.65 14.923 -0.00253157 0.0751032 -0.0788364
  208 8.75 10.9069 0.0285381 0.100735 -0.102152
  209 8.85 8.1066 -0.0252485 0.0454182 -0.025736
  210 8.95 5.5032 0.0311097 0.0778565 -0.0259582
  211 9.05 7.3893 0.0565683 0.00747842 -0.0319265
  212 9.15 10.8818 0.00570321 -0.0169796 -0.0308374
  213 9.25 20.3539 0.0245854 0.0280775 -0.0211932
  214 9.35 33.6072 0.0389963 0.0483292 -0.0197024
  215 9.45 43.4489 0.00791346 0.00572509 -0.0256614
  216 9.55 30.0633 0.0112894 -0.00871134 -0.0264823
  217 9.65 6.2715 0.0383427 0.0242957 0.00175865
  218 9.75 0.1173 -0.203126 0.256642 0.00429687
  219 9.85 0 0 0 0
  220 9.95 0 0 0 0
  221 10.05 0 0 0 0
  222 10.15 0 0 0 0
  223 10.25 0 0 0 0
  224 10.35 0 0 0 0
  225 10.45 0 0 0 0
  226 10.55 0 0 0 0
  227 10.65 0 0 0 0
  228 10.75 0 0 0 0
  229 10.85 0 0 0 0
  230 10.95 0 0 0 0
  231 11.05 0 0 0 0
  232 11.15 0 0 0 0
  233 11.25 0 0 0 0
  234 11.35 0 0 0 0
  235 11.45 0 0 0 0
  236 11.55 0 0 0 0
  237 11.65 0 0 0 0
  238 11.75 0 0 0 0
  239 11.85 0 0 0 0
  240 11.95 0 0 0 0
